subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP
67010000,스크린골프존,20240309195338,104,GTOUR도전 끝까지 간다2(4회),"",""
62287000,SBS스포츠,20240309124029,5,2023 KBO리그 한국시리즈 하이라이트,"",""
62710000,SBS스포츠,20240309125206,1,2023 KBO리그 한국시리즈 하이라이트,"",""
65355000,SBS스포츠,20240309125146,22,2023 KBO리그 한국시리즈 하이라이트,"",""
65128000,스카이스포츠,20240309041827,58,여자 축구국가대표팀 친선경기,"",""
62441000,스카이스포츠,20240309041515,17,여자 축구국가대표팀 친선경기,"",""
61191000,스카이스포츠,20240309044225,5,여자 축구국가대표팀 친선경기,"",""
64130000,SBS골프2,20240309170523,1,2023 KPGA 코리안투어 제13회 데...,"",""
62764000,씨네프,20240309220358,7,테이큰,"","리암 니슨,매기 그레이스"
61702000,씨네프,20240309210058,301,테이큰,"","리암 니슨,매기 그레이스"
63388000,씨네프,20240309214443,0,테이큰,"","리암 니슨,매기 그레이스"
66083000,씨네프,20240309215020,1,테이큰,"","리암 니슨,매기 그레이스"
67187000,씨네프,20240309205219,910,테이큰,"","리암 니슨,매기 그레이스"
60307000,씨네프,20240309215111,13,테이큰,"","리암 니슨,매기 그레이스"
65015000,월드클래식무비,20240309091601,0,전사 씨야마,"","탄 타나콘,낫타눈 잔타라왓,티티마 말리완"
67348000,씨네프,20240309214230,0,테이큰,"","리암 니슨,매기 그레이스"
60492000,월드클래식무비,20240309094625,3,전사 씨야마,"","탄 타나콘,낫타눈 잔타라왓,티티마 말리완"
61251000,시네마천국,20240309165821,2,리미트리스 1부,동명의 SF 소설을 원작으로 한 영화로서 인간이 약을 먹고 뇌를 100% 활용할 수 있다는 흥미로운 설정의 작품,"로버트 드 니로,브래들리 쿠퍼"
65574000,시네마천국,20240309173540,2,리미트리스 2부,동명의 SF 소설을 원작으로 한 영화로서 인간이 약을 먹고 뇌를 100% 활용할 수 있다는 흥미로운 설정의 작품,"로버트 드 니로,브래들리 쿠퍼"
64668000,시네마천국,20240309165640,39,리미트리스 1부,동명의 SF 소설을 원작으로 한 영화로서 인간이 약을 먹고 뇌를 100% 활용할 수 있다는 흥미로운 설정의 작품,"로버트 드 니로,브래들리 쿠퍼"
64743000,시네마천국,20240309172541,3,리미트리스 2부,동명의 SF 소설을 원작으로 한 영화로서 인간이 약을 먹고 뇌를 100% 활용할 수 있다는 흥미로운 설정의 작품,"로버트 드 니로,브래들리 쿠퍼"
66286000,시네마천국,20240309164201,3,리미트리스 1부,동명의 SF 소설을 원작으로 한 영화로서 인간이 약을 먹고 뇌를 100% 활용할 수 있다는 흥미로운 설정의 작품,"로버트 드 니로,브래들리 쿠퍼"
65696000,인디필름,20240309155945,6751,모스트 데인저러스 게임,직업 사냥꾼이 사냥 게임에서 탈출하는 과정을 그린 모험 영화,"존 해니건,조셉 갯"
65615000,TV조선,20240309113006,25,소문난 건강법(36회),"",""
63024000,TV조선,20240309112031,299,소문난 건강법(36회),"",""
66085000,TV조선,20240309105353,0,소문난 건강법(36회),"",""
64479000,TV조선,20240309111044,6,소문난 건강법(36회),"",""
62677000,TV조선,20240309110533,42,소문난 건강법(36회),"",""
65904000,TV조선,20240309113516,9,소문난 건강법(36회),"",""
64610000,TV조선,20240309112839,37,소문난 건강법(36회),"",""
67115000,TV조선,20240309110104,13,소문난 건강법(36회),"",""
65182000,TV조선,20240309082409,6,반지의 비밀일기 시즌3(3회),"",""
65347000,TV조선,20240309082632,0,반지의 비밀일기 시즌3(3회),"",""
62494000,tvN스토리,20240303151655,6,미스터 션샤인(23회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
65659000,tvN스토리,20240303133411,139,미스터 션샤인(22회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근"
